voltage,current,time,date
4184,0096,15:00:50,26/02/25
4185,0098,15:01:00,26/02/25
4184,0094,15:01:10,26/02/25
4185,0095,15:01:20,26/02/25
4185,0095,15:01:30,26/02/25
4186,0095,15:01:40,26/02/25
4184,0095,15:01:50,26/02/25
4184,0096,15:02:00,26/02/25
4186,0094,15:02:10,26/02/25
4186,0094,15:02:20,26/02/25
4184,0094,15:02:30,26/02/25
4188,0094,15:02:40,26/02/25
4187,0095,15:02:50,26/02/25
4185,0095,15:03:00,26/02/25
4185,0094,15:03:10,26/02/25
4184,0094,15:03:20,26/02/25
4183,0093,15:03:30,26/02/25
4183,0093,15:03:40,26/02/25
4184,0094,15:03:50,26/02/25
4185,0093,15:04:00,26/02/25
4185,0094,15:04:10,26/02/25
4186,0093,15:04:20,26/02/25
4184,0093,15:04:30,26/02/25
4185,0093,15:04:40,26/02/25
4185,0093,15:04:50,26/02/25
4186,0093,15:05:00,26/02/25
4185,0092,15:05:10,26/02/25
4183,0093,15:05:20,26/02/25
4186,0092,15:05:30,26/02/25
4184,0092,15:05:40,26/02/25
4185,0093,15:05:50,26/02/25
4187,0094,15:06:00,26/02/25
4186,0092,15:06:10,26/02/25
4184,0092,15:06:20,26/02/25
4183,0092,15:06:30,26/02/25
4184,0092,15:06:40,26/02/25
4185,0092,15:06:50,26/02/25
4184,0092,15:07:00,26/02/25
